cargo_id,trip_id,service_area,delivery_s,cargo_type,is_first_batch,is_medical,first_deadline_s,expected_delivery_s,hard_deadline_s,lateness_s,priority_weight,run_id
S002-MED-01,T008,S002,1553.3161924076305,医疗物资,1,1,3600.0,3600.0,3600.0,0.0,24.0,20260923_191417_344885
S002-WAT-01,T008,S002,1553.3161924076305,饮用水,1,0,3600.0,3600.0,3600.0,0.0,12.0,20260923_191417_344885
S002-WAT-02,T008,S002,1553.3161924076305,饮用水,0,0,,3600.0,,0.0,12.0,20260923_191417_344885
S002-WAT-03,T008,S002,1553.3161924076305,饮用水,0,0,,3600.0,,0.0,12.0,20260923_191417_344885
S002-WAT-04,T023,S002,5161.070912960409,饮用水,0,0,,3600.0,,1561.0709129604093,12.0,20260923_191417_344885
S003-FOD-01,T015,S003,3885.3180596175953,应急食品,0,0,,10800.0,,0.0,8.0,20260923_191417_344885
S003-FOD-02,T015,S003,3885.3180596175953,应急食品,0,0,,10800.0,,0.0,8.0,20260923_191417_344885
S003-HYG-01,T015,S003,3885.3180596175953,生活卫生用品,0,0,,14400.0,,0.0,6.0,20260923_191417_344885
S003-MED-01,T015,S003,3885.3180596175953,医疗物资,1,1,7200.0,7200.0,7200.0,0.0,20.0,20260923_191417_344885
S003-WAT-01,T015,S003,3885.3180596175953,饮用水,1,0,7200.0,7200.0,7200.0,0.0,10.0,20260923_191417_344885
S003-WAT-02,T015,S003,3885.3180596175953,饮用水,0,0,,7200.0,,0.0,10.0,20260923_191417_344885
S003-WAT-03,T029,S003,6070.827190432096,饮用水,0,0,,7200.0,,0.0,10.0,20260923_191417_344885
S003-WAT-04,T015,S003,3885.3180596175953,饮用水,0,0,,7200.0,,0.0,10.0,20260923_191417_344885
S004-FOD-01,T027,S004,6672.086021877958,应急食品,0,0,,10800.0,,0.0,8.0,20260923_191417_344885
S004-HYG-01,T034,S004,8045.181432589932,生活卫生用品,0,0,,14400.0,,0.0,6.0,20260923_191417_344885
S004-MED-01,T027,S004,6672.086021877958,医疗物资,1,1,7200.0,7200.0,7200.0,0.0,20.0,20260923_191417_344885
S004-WAT-01,T004,S004,1311.0467593502588,饮用水,1,0,7200.0,7200.0,7200.0,0.0,10.0,20260923_191417_344885
S004-WAT-02,T026,S004,5926.381247222748,饮用水,0,0,,7200.0,,0.0,10.0,20260923_191417_344885
S004-WAT-03,T030,S004,6189.934364872039,饮用水,0,0,,7200.0,,0.0,10.0,20260923_191417_344885
S005-FOD-01,T027,S005,6109.13399668282,应急食品,0,0,,14400.0,,0.0,6.0,20260923_191417_344885
S005-HYG-01,T027,S005,6109.13399668282,生活卫生用品,0,0,,18000.0,,0.0,4.0,20260923_191417_344885
S005-MED-01,T027,S005,6109.13399668282,医疗物资,1,1,10800.0,10800.0,10800.0,0.0,16.0,20260923_191417_344885
S005-WAT-01,T027,S005,6109.13399668282,饮用水,1,0,10800.0,10800.0,10800.0,0.0,8.0,20260923_191417_344885
S005-WAT-02,T027,S005,6109.13399668282,饮用水,0,0,,10800.0,,0.0,8.0,20260923_191417_344885
S005-WAT-03,T027,S005,6109.13399668282,饮用水,0,0,,10800.0,,0.0,8.0,20260923_191417_344885
S006-FOD-01,T031,S006,6485.560794860774,应急食品,0,0,,7200.0,,0.0,10.0,20260923_191417_344885
S006-HYG-01,T035,S006,7625.514469625419,生活卫生用品,0,0,,10800.0,,0.0,8.0,20260923_191417_344885
S006-MED-01,T013,S006,2811.5910113099917,医疗物资,1,1,3600.0,3600.0,3600.0,0.0,24.0,20260923_191417_344885
S006-WAT-01,T001,S006,875.5024303951484,饮用水,1,0,3600.0,3600.0,3600.0,0.0,12.0,20260923_191417_344885
S006-WAT-02,T024,S006,5232.082600737143,饮用水,0,0,,3600.0,,1632.0826007371434,12.0,20260923_191417_344885
S006-WAT-03,T025,S006,5391.703285214136,饮用水,0,0,,3600.0,,1791.7032852141356,12.0,20260923_191417_344885
S007-FOD-01,T013,S007,3569.9089900072354,应急食品,0,0,,7200.0,,0.0,10.0,20260923_191417_344885
S007-HYG-01,T013,S007,3569.9089900072354,生活卫生用品,0,0,,10800.0,,0.0,8.0,20260923_191417_344885
S007-MED-01,T013,S007,3569.9089900072354,医疗物资,1,1,3600.0,3600.0,3600.0,0.0,24.0,20260923_191417_344885
S007-WAT-01,T013,S007,3569.9089900072354,饮用水,1,0,3600.0,3600.0,3600.0,0.0,12.0,20260923_191417_344885
S007-WAT-02,T013,S007,3569.9089900072354,饮用水,0,0,,3600.0,,0.0,12.0,20260923_191417_344885
S008-FOD-01,T028,S008,6241.128144887708,应急食品,0,0,,10800.0,,0.0,8.0,20260923_191417_344885
S008-HYG-01,T028,S008,6241.128144887708,生活卫生用品,0,0,,14400.0,,0.0,6.0,20260923_191417_344885
S008-MED-01,T028,S008,6241.128144887708,医疗物资,1,1,7200.0,7200.0,7200.0,0.0,20.0,20260923_191417_344885
S008-WAT-01,T028,S008,6241.128144887708,饮用水,1,0,7200.0,7200.0,7200.0,0.0,10.0,20260923_191417_344885
S008-WAT-02,T028,S008,6241.128144887708,饮用水,0,0,,7200.0,,0.0,10.0,20260923_191417_344885
S009-FOD-01,T037,S009,7967.307770033739,应急食品,0,0,,14400.0,,0.0,6.0,20260923_191417_344885
S009-MED-01,T009,S009,2319.374810039295,医疗物资,1,1,10800.0,10800.0,10800.0,0.0,16.0,20260923_191417_344885
S009-WAT-01,T014,S009,2861.7183698795216,饮用水,1,0,10800.0,10800.0,10800.0,0.0,8.0,20260923_191417_344885
S010-FOD-01,T032,S010,6681.802028884621,应急食品,0,0,,7200.0,,0.0,10.0,20260923_191417_344885
S010-MED-01,T005,S010,965.2264495822316,医疗物资,1,1,3600.0,3600.0,3600.0,0.0,24.0,20260923_191417_344885
S010-WAT-01,T002,S010,1044.9680304429587,饮用水,1,0,3600.0,3600.0,3600.0,0.0,12.0,20260923_191417_344885
S011-FOD-01,T036,S011,7713.723072071901,应急食品,0,0,,14400.0,,0.0,6.0,20260923_191417_344885
S011-MED-01,T012,S011,2385.3118776720457,医疗物资,1,1,10800.0,10800.0,10800.0,0.0,16.0,20260923_191417_344885
S011-WAT-01,T016,S011,3111.2684726627895,饮用水,1,0,10800.0,10800.0,10800.0,0.0,8.0,20260923_191417_344885
S012-FOD-01,T010,S012,2661.772500474182,应急食品,0,0,,7200.0,,0.0,10.0,20260923_191417_344885
S012-MED-01,T010,S012,2661.772500474182,医疗物资,1,1,3600.0,7200.0,3600.0,0.0,22.0,20260923_191417_344885
S012-WAT-01,T010,S012,2661.772500474182,饮用水,1,0,3600.0,3600.0,3600.0,0.0,12.0,20260923_191417_344885
S013-FOD-01,T033,S013,6904.590106099264,应急食品,0,0,,7200.0,,0.0,10.0,20260923_191417_344885
S013-MED-01,T006,S013,942.7694958843779,医疗物资,1,1,3600.0,3600.0,3600.0,0.0,24.0,20260923_191417_344885
S013-WAT-01,T003,S013,1023.5902021715531,饮用水,1,0,3600.0,3600.0,3600.0,0.0,12.0,20260923_191417_344885
S014-FOD-01,T011,S014,2677.8144406885685,应急食品,0,0,,7200.0,,0.0,10.0,20260923_191417_344885
S014-MED-01,T011,S014,2677.8144406885685,医疗物资,1,1,3600.0,7200.0,3600.0,0.0,22.0,20260923_191417_344885
S014-WAT-01,T011,S014,2677.8144406885685,饮用水,1,0,3600.0,3600.0,3600.0,0.0,12.0,20260923_191417_344885
S015-FOD-01,T013,S015,4081.8426770696396,应急食品,0,0,,14400.0,,0.0,6.0,20260923_191417_344885
S015-MED-01,T013,S015,4081.8426770696396,医疗物资,1,1,7200.0,7200.0,7200.0,0.0,18.0,20260923_191417_344885
S015-WAT-01,T013,S015,4081.8426770696396,饮用水,1,0,10800.0,10800.0,10800.0,0.0,8.0,20260923_191417_344885
