cargo_id,service_area,cargo_type,cargo_weight_kg,cargo_volume_m3,is_first_batch,is_medical,first_deadline_s,expected_delivery_s,priority_weight,hard_deadline_s
S003-WAT-03,S003,饮用水,14.0,0.027,0,0,,7200.0,10.0,
S003-WAT-04,S003,饮用水,14.0,0.027,0,0,,7200.0,10.0,
S003-FOD-01,S003,应急食品,8.0,0.028,0,0,,10800.0,8.0,
S003-FOD-02,S003,应急食品,8.0,0.028,0,0,,10800.0,8.0,
S003-HYG-01,S003,生活卫生用品,6.0,0.035,0,0,,14400.0,6.0,
S004-MED-01,S004,医疗物资,3.0,0.012,1,1,7200.0,7200.0,20.0,7200.0
S004-WAT-01,S004,饮用水,14.0,0.027,1,0,7200.0,7200.0,10.0,7200.0
S004-WAT-02,S004,饮用水,14.0,0.027,0,0,,7200.0,10.0,
S004-WAT-03,S004,饮用水,14.0,0.027,0,0,,7200.0,10.0,
S004-FOD-01,S004,应急食品,8.0,0.028,0,0,,10800.0,8.0,
S004-HYG-01,S004,生活卫生用品,6.0,0.035,0,0,,14400.0,6.0,
S005-MED-01,S005,医疗物资,3.0,0.012,1,1,10800.0,10800.0,16.0,10800.0
S005-WAT-01,S005,饮用水,14.0,0.027,1,0,10800.0,10800.0,8.0,10800.0
S005-WAT-02,S005,饮用水,14.0,0.027,0,0,,10800.0,8.0,
S005-WAT-03,S005,饮用水,14.0,0.027,0,0,,10800.0,8.0,
S005-FOD-01,S005,应急食品,8.0,0.028,0,0,,14400.0,6.0,
S005-HYG-01,S005,生活卫生用品,6.0,0.035,0,0,,18000.0,4.0,
S006-MED-01,S006,医疗物资,3.0,0.012,1,1,3600.0,3600.0,24.0,3600.0
S006-WAT-01,S006,饮用水,14.0,0.027,1,0,3600.0,3600.0,12.0,3600.0
S006-WAT-02,S006,饮用水,14.0,0.027,0,0,,3600.0,12.0,
S006-WAT-03,S006,饮用水,14.0,0.027,0,0,,3600.0,12.0,
S006-FOD-01,S006,应急食品,8.0,0.028,0,0,,7200.0,10.0,
S006-HYG-01,S006,生活卫生用品,6.0,0.035,0,0,,10800.0,8.0,
S007-MED-01,S007,医疗物资,3.0,0.012,1,1,3600.0,3600.0,24.0,3600.0
S007-WAT-01,S007,饮用水,14.0,0.027,1,0,3600.0,3600.0,12.0,3600.0
S007-WAT-02,S007,饮用水,14.0,0.027,0,0,,3600.0,12.0,
S007-FOD-01,S007,应急食品,8.0,0.028,0,0,,7200.0,10.0,
S007-HYG-01,S007,生活卫生用品,6.0,0.035,0,0,,10800.0,8.0,
S008-MED-01,S008,医疗物资,3.0,0.012,1,1,7200.0,7200.0,20.0,7200.0
S008-WAT-01,S008,饮用水,14.0,0.027,1,0,7200.0,7200.0,10.0,7200.0
S008-WAT-02,S008,饮用水,14.0,0.027,0,0,,7200.0,10.0,
S008-FOD-01,S008,应急食品,8.0,0.028,0,0,,10800.0,8.0,
S008-HYG-01,S008,生活卫生用品,6.0,0.035,0,0,,14400.0,6.0,
S009-MED-01,S009,医疗物资,3.0,0.012,1,1,10800.0,10800.0,16.0,10800.0
S009-WAT-01,S009,饮用水,14.0,0.027,1,0,10800.0,10800.0,8.0,10800.0
S009-FOD-01,S009,应急食品,8.0,0.028,0,0,,14400.0,6.0,
S010-MED-01,S010,医疗物资,3.0,0.012,1,1,3600.0,3600.0,24.0,3600.0
S010-WAT-01,S010,饮用水,14.0,0.027,1,0,3600.0,3600.0,12.0,3600.0
S010-FOD-01,S010,应急食品,8.0,0.028,0,0,,7200.0,10.0,
S011-MED-01,S011,医疗物资,3.0,0.012,1,1,10800.0,10800.0,16.0,10800.0
S011-WAT-01,S011,饮用水,14.0,0.027,1,0,10800.0,10800.0,8.0,10800.0
S011-FOD-01,S011,应急食品,8.0,0.028,0,0,,14400.0,6.0,
S012-MED-01,S012,医疗物资,3.0,0.012,1,1,3600.0,7200.0,22.0,3600.0
S012-WAT-01,S012,饮用水,14.0,0.027,1,0,3600.0,3600.0,12.0,3600.0
S012-FOD-01,S012,应急食品,8.0,0.028,0,0,,7200.0,10.0,
S013-MED-01,S013,医疗物资,3.0,0.012,1,1,3600.0,3600.0,24.0,3600.0
S013-WAT-01,S013,饮用水,14.0,0.027,1,0,3600.0,3600.0,12.0,3600.0
S013-FOD-01,S013,应急食品,8.0,0.028,0,0,,7200.0,10.0,
S014-MED-01,S014,医疗物资,3.0,0.012,1,1,3600.0,7200.0,22.0,3600.0
S014-WAT-01,S014,饮用水,14.0,0.027,1,0,3600.0,3600.0,12.0,3600.0
S014-FOD-01,S014,应急食品,8.0,0.028,0,0,,7200.0,10.0,
S015-MED-01,S015,医疗物资,3.0,0.012,1,1,7200.0,7200.0,18.0,7200.0
S015-WAT-01,S015,饮用水,14.0,0.027,1,0,10800.0,10800.0,8.0,10800.0
S015-FOD-01,S015,应急食品,8.0,0.028,0,0,,14400.0,6.0,
